Restaurant Name,Restaurant URL,Review Stars,Minneapolis,St. Paul,Restaurant Type,Chain or Local,Brunch/Breakfast,Lunch,Dinner,Cuisine Type
JUN Szechuan Kitchen,https://junnorthloop.com/,4.2,Y,N,Casual Sit-Down,Local,N,N,Y,Asian
Magic Noodle,https://www.magicnoodleusa.com/,4.5,N,Y,Casual Sit-Down,Local,N,N,Y,Asian
Victor's 1959,https://www.victors1959cafe.com/,4.7,Y,N,Casual Sit-Down,Local,Y,Y,Y,American
Cafe Lurcat,https://lurcatminneapolis.com/,4.6,Y,N,Fancy Sit-Down,Local,Y,N,Y,French
Fhima's Minneapolis,https://fhimasmpls.com/,4.7,Y,N,Fancy Sit-Down,Local,N,N,Y,French
Umbra,https://www.umbra.com/,4.3,Y,N,Fancy Sit-Down,Local,Y,Y,Y,French
French Meadow,https://www.frenchmeadowcafe.com/,4.4,Y,Y,Casual Sit-Down,Local,Y,Y,Y,Health
Spoon and Stable,https://www.spoonandstable.com/,4.7,Y,N,Fancy Sit-Down,Local,Y,N,Y,French
Cave Vin,https://cave-vin.net/,4.7,Y,N,Fancy Sit-Down,Local,N,N,Y,French
Saint Genevieve,https://www.stgmpls.com/,4.5,Y,N,Fancy Sit-Down,Local,Y,N,Y,French
The Harriet Brasserie,https://www.lakeharrietbrasserie.com/,4.6,Y,N,Fancy Sit-Down,Local,Y,N,Y,French
Meritage,https://www.meritage-stpaul.com/,4.6,N,Y,Fancy Sit-Down,Local,N,N,Y,French
Saint Dinette,https://www.saintdinette.com/,4.6,N,Y,Fancy Sit-Down,Local,Y,N,Y,French
Barbette,http://www.barbette.com/,4.4,Y,N,Casual Sit-Down,Local,Y,Y,Y,French
Nightingale,http://nightingalempls.com/,4.6,Y,N,Fancy Sit-Down,Local,Y,Y,Y,French
Lela,https://www.lelarestaurant.com/,4.3,Y,N,Fancy Sit-Down,Local,N,N,Y,Italian
Giulia,https://www.dinegiulia.com/,4.5,Y,N,Fancy Sit-Down,Local,N,N,Y,Italian
Monello,https://www.monellompls.com/,4.3,Y,N,Fancy Sit-Down,Local,Y,Y,Y,Italian
Terzo,https://www.terzompls.com/,4.7,Y,N,Fancy Sit-Down,Local,N,N,Y,Italian
Zelo,https://zelompls.com/,4.5,Y,N,Fancy Sit-Down,Local,N,Y,Y,Italian
Josefina,https://www.josefinawayzata.com/,4.4,Y,N,Fancy Sit-Down,Local,Y,N,Y,Italian
Mucci's,https://www.muccisitalian.com/muccis-st-paul/,4.7,Y,N,Casual Sit-Down,Local,N,N,Y,Italian
Red Rabbit,https://www.redrabbitmn.com/,4.6,Y,Y,Casual Sit-Down,Local,N,Y,Y,Italian
